drum	event composed of	tom tom
crackle	generated by	television
tapping	is a type of	percussive
fire	has children	crackle
bus	originates from	bus stop
engine idling	has subtype	truck engine idling
silence	occurs in	office
doorbell	has parent	bell ringing
electric guitar	overlaps with	rock music
cymbal	is a type of	musical element
crackle	warns about	power outage
percussion	has subtype	xylophone
child voice	has subtype	children shouting
human activities	has children	rope skipping
steelpan	warns about	volcanic eruption warning
clapping	belongs to class	human non-speech sounds
dog bowing	has parent	dog
hammering	produced during	masonry
object impact	has duration	medium
flute	occurs in	jazz club
civil defense siren ringing	belongs to class	alarm signal
large vehicle	has subtype	truck brake
bagpipes	part of scene	parade
sitar	produces	musical instrument
alarm signal	has children	vehicle horn
sliding door	occurs in	station hall
snowmobile	occurs in	snowy mountain
explosion	has children	volcano explosion
walking	event composed of	footsteps
snare drum	has children	rimshot
cat meowing	caused by	cat vocalization
chopping food	occurs in	home
vehicle	has subtype	airplane
car engine idling	occurs in	car interior
salsa music	event composed of	bass
hammering	occurs in	construction zone
pouring water	generated by	bucket
air conditioning	produced during	indoor environments
hum	has parent	onomatopoeia
microphone	occurs in	radio broadcast
crowd	has subtype	people cheering
electronic music	has subtype	techno
whistle	produced during	blowing
cattle mooing	generated by	cows
whoop	has sibling	shouting
piano	scene contains	concert hall
trombone	overlaps with	brass music
grunting	occurs in	wrestling match
noise	has subtype	white or pink noise
traffic noise	event composed of	screeching brakes
horse nicker	belongs to class	horse
drum and bass	has sibling	electronic music
ping	has parent	brief tone
dog yipping	localized in	beach
snowmobile	caused by	snowfall
animal	has subtype	fly housefly
musical instrument	has subtype	vibraphone
banjo	is instance of	musical instrument
drinking or sipping	occurs in	cafe or restaurant
train	event composed of	whistle
vehicle passing by	belongs to class	road vehicle
timpani	described by	a percussion instrument with a deep, resonant sound
drum	indicates	beat
whimpering	has pitch	low
animal	has subtype	dinosaurs bellowing
speech	has children	chatter
rain	has subtype	rainy weather
scratch	localized in	house
large room or hall	generated by	echo
elephant trumpeting	caused by	elephant call
shouting	has children	bellow
vocal music	belongs to class	music genre
sound of things	has subtype	frying
conversation	has subtype	verbal communication
afrobeat	described by	a type of music that is characterized by its use of traditional african instruments
cat	has subtype	cat hissing
sheep	can be heard in	pasture
zither	has timbre	stringed
announcement	occurs in	bus station
door	responds to	lock unlocking
crying	emitted by	mother
car brake	belongs to class	road vehicle
other sourceless	has subtype	sine wave
trumpet	is instance of	instrument
cello	emitted by	musician
horse snort	belongs to class	horse
children playing	has parent	child voice
clarinet	generated by	instrument
doorbell	emitted by	front door
organ	has timbre	piano-like
liquid pouring	has subtype	gush
lullaby	occurs in	cradlebabybox5
tick-tock	has subtype	time keeping
electronic organ	belongs to class	musical instrument
crow caw	belongs to class	animal
car engine accelerating	occurs in	car interior
harp	occurs in	music event
train	can be heard in	crossing
ship	localized in	harbor
marimba and xylophone	has timbre	metallic
radio	associated with environment	broadcast center
clunk	follows	metal on metal device
female screaming	indicates	distress
mechanisms	has subtype	tick-tock
chimpanzee	warns about	predator
cat meowing	localized in	kitchen
vehicle	originates from	parking lot entrance
wild animal	has subtype	francolin calling
wind blowing	has children	tornado
musical instrument	scene contains	piano
female screaming	produced during	emotional outburst
vehicle passing by	belongs to class	things
music	has subtype	electronica
people cheering	emitted by	athletes
medium engine (mid frequency)	occurs in	residential area
thunk	belongs to class	miscellaneous sources
power tool	has children	dental drill
train	occurs in	tunnel exit
clang	generated by	machinery
liquid	temporal component of	splashing
clapping	emitted by	audience
hand saw	generated by	lumberjack
dial tone	has sibling	telephone
dishwasher	has sibling	kitchen sounds
lullaby	scene contains	soothing voice
hum	temporal component of	humming
pulleys	occurs in	construction site
percussion	has children	tambourine
bowed string instrument	has children	double bass
bird chirping	has children	wood thrush calling
door slam	temporal component of	closing
cello	co-occurs with	classical music
clock tick	warns about	time
car alarm ringing	caused by	car theft
clang	part of scene	amusement park ride
guiro	is a type of	percussion instrument
car	co-occurs with	traffic noise
object fall	belongs to class	domestic sounds
cymbal	overlaps with	drumming
buzzer ringing	emitted by	device
basketball bounce	generated by	player
caterwaul	described by	a bird call used to warn of danger
motorcycle engine accelerating	belongs to class	vehicle
engine	occurs in	farm
melody	generated by	musician
washing dishes	overlaps with	running water
clang	has parent	brief tone
farm animal	has subtype	duck quack
choir singing	has sibling	singing
music	has subtype	clarinet
liquid	belongs to class	things
crockery breaking and smashing	has sibling	kitchen sounds
banjo	part of scene	music performance
animal	has subtype	neigh whinny
harmonica	is sound of	musician
cutlery or dishes	has subtype	knife
radio	can be heard in	living room
timpani	has duration	medium
large vehicle	occurs in	park
crowd	associated with event	cultural event
christmas music	performed by	orchestra
timpani	is sound of	orchestra
bongos	indicates	rhythm
music genre	has children	rock music
guiro	associated with environment	celebration
kitchen sounds	overlaps with	coffee maker gurgling
orchestra	is a type of	chamber orchestra
truck	co-occurs with	delivery truck
duck quack	can be heard in	lake
sound of things	has subtype	lathe spinning
large room or hall	generated by	ambience
rustling leaves	has parent	wind blowing
fireworks	is a type of	fireworks show
trumpet	part of scene	circus performance
waterfall	event composed of	spraying water
explosion	occurs in	battlefield
angry music	has parent	music mood
basketball bounce	has sibling	specific impact
zither	is a type of	musical instrument
error signal	has sibling	alarm signal
rock drill	belongs to class	things
sitar	has pitch	low
engine	belongs to class	things
zither	has parent	plucked string instrument
rimshot	part of scene	theater performance
dial tone	overlaps with	phone ring
snorting	is a type of	animal
domestic sounds	has subtype	frying
lock	overlaps with	door closing
crash cymbal	has parent	cymbal
walking	responds to	footsteps on dirt
ringtone	responds to	incoming call
bird squawk	has parent	bird
plastic crinkling	has sibling	source-ambiguous
ringtone	can be heard in	phone
electronica	scene contains	music playing
recording	temporal component of	music
nose blowing	occurs in	bus interior
car alarm ringing	perceived as	intrusive
truck compressor	belongs to class	truck
foghorn ringing	occurs in	traffic intersection
car skidding	localized in	parking lot
door	occurs in	office
flap	has sibling	generic impact sounds
motorcycle	occurs in	busy street
car wheel rolling	generated by	road
raindrop	indicates	precipitation
glockenspiel	scene contains	concert stage
tick-tock	is a type of	clock
fire	associated with environment	fireworks display
telephone dialing	precedes	making a call
animal	occurs in	park
melody	belongs to class	music
synthesizer	has sibling	keyboard (musical)
ukulele	localized in	music studio
double bass	generated by	musician
wind noise (microphone)	belongs to class	equipment
bagpipes	part of scene	scottish culture
microphone	invites action	provides input to the listener.
chicken crowing	emitted by	rooster
marching	part of scene	demonstration
gong	occurs in	church bell
buzzer ringing	is a type of	alert
digestive	described by	a process of breaking down food in the stomach
water	has subtype	rain
canidae dogs wolves	performed by	wildlife
sound of things	has subtype	furniture dragging
siren ringing	has parent	alarm signal
a capella	has sibling	vocal music
outdoor environment	occurs in	park
mellotron	described by	an electronic instrument that produces a wide range of
television	occurs in	home
bass drum	has timbre	percussive
squeal	responds to	car alarm
humming	is a type of	musical
trombone	part of scene	street performance
chatter	produced during	conversation
clavinet	has timbre	percussive
percussion	used for	dance
beat	event composed of	drum
child singing	produced during	karaoke
marching	localized in	parade
sympathetic singing	belongs to class	human sounds
engine idling	is sound of	motorcycle engine
typewriter	generated by	typing
duck	has children	duck quack
steel guitar or slide guitar	associated with event	performing
female singing	localized in	church
cymbal	overlaps with	percussion
lawn mower	produced during	landscaping
drum	associated with environment	music recording facility
yelling	occurs in	construction site
mechanisms	has children	mechanical fan
steel guitar or slide guitar	has parent	playing guitar
engine	has subtype	engine starting
human sounds	has subtype	human non-speech sounds
wildfire	has sibling	fire
gunshot	localized in	war zone
children shouting	belongs to class	human voice
percussion	is sound of	drum
sympathetic singing	has duration	medium
alarm signal	has subtype	siren ringing
a capella	belongs to class	singing
heavy engine (low frequency)	has children	truck engine idling
music genre	has children	africa music
soprano saxophone	belongs to class	saxophone
fire alarm ringing	occurs in	bus station
organ	is a type of	string instrument
engine	occurs in	busy street
talking	can be heard in	cafeteria
cowbell	linked to visual	musical instrument used in jazz band
water domestic	occurs in	bathroom
crunch	can be heard in	playground
insect buzz	event composed of	wing flapping
sound of things	has subtype	shopping cart
electric train	precedes	train arrival
sanding	has parent	tools
door knock	generated by	person
chimpanzee	associated with environment	jungle
kitchen sounds	has subtype	washing dishes
insect	is instance of	arthropod
flute	occurs in	music theater
cymbal	indicates	musical instrument
animal	has subtype	donkey
fart	described by	a sound made by the digestive system during the process of digestion
animal	has subtype	chipmunk
surface contact	has children	grind
drum	performed by	drummer
vehicle	has subtype	motorcycle brake
ice cream truck	occurs in	city center
dog howling	belongs to class	dog
slosh	has sibling	water splashing
vibration	has sibling	noise
telephone	described by	a device used for communication over the mobile network
marimba and xylophone	has sibling	percussion
elk bugling	precedes	elk hunting season
sound of things	has subtype	engine
stationary music	can be heard in	living room
car alarm ringing	indicates	car theft
stir	belongs to class	things
screaming	localized in	movie theater
cart	has parent	non-motorized land vehicle
door knock	emitted by	delivery person
chinchilla barking	event composed of	chinchilla vocalizations
clicking	belongs to class	onomatopoeia
bongos	is a type of	percussion instrument
